id	group	title	verdict	routing_class	confidence	basis
495	G1	FEE-2 Phase 3: Per-market insurance rate overrides	RULE-FIRST	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Per-market insurance RATE is a fee decision (§8 no rate literals). PUNCHLIST §1 row before build.
500	G1	Show converted prices on service cards in the browse catalog	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No currency conversion on marketplace card components.
517	G1	Show a per-item fee breakdown in the checkout summary	PARTIAL	LANE-BRIEF(money §8/§14/§18/§19)	A verified	An ORDER-level breakdown exists (cart.tsx:786, :1077 FP-4 server-derived snapshot incl. conciergeFee). PER-ITEM breakdown does not.
551	G1	Show pricing tiers on service booking cards and in the checkout flow	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	pricingTiers exists only in the authoring form (ServiceForm.tsx:179,372,453). No booking-card or checkout render.
553	G1	Validate and preview pricing tiers before saving a service	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No validation or preview of tiers before save; ServiceForm only plumbs the array.
578	G1	Show the Booking Concierge fee on the booking detail and my-bookings pages	PARTIAL	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Rendered on BookingConfirmation.tsx:188. NOT on my-bookings.tsx (no conciergeFee reference).
579	G1	Make the Booking Concierge fee amount configurable from the admin panel	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	fee_bands row expert_concierge_booking + cap (LD 51), editable via admin/fee-bands.tsx
580	G1	Keep the cart fee preview accurate when a booking-concierge service is removed	LIKELY-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	cart.tsx carries a server-derived conciergeFee through the FP-4 snapshot (:1077,:1086); removal refetches the server preview. Confirm the refetch path then close.
584	G1	Make sure the price shown in the cart always matches what gets charged at checkout	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	FP-4 mechanism: cart.tsx:1009 + :1077 snapshot the real server-derived breakdown, which is what makes preview and charge the same number.
585	G1	Remove duplicate provider-role fee logic to keep pricing consistent	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	direct-charge-rate.service.ts:6-12 states it is the single authority on EVERY provider charge path, "not just the attributed one" - the duplicate provider-role path was removed.
805	G1	Make sure the Add to existing trip path in the cart also lands on the right page	PARTIAL	BUILD	A verified	CityGrid.tsx:208 renders "Add to an existing trip"; the landing target was not traced. Needs one click-path check.
846	G1	Prevent provider earnings from being counted twice if a booking confirmation is retried	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	server/__tests__/booking-confirm-payment-idempotency.test.ts cites #846; CI-wired (suite-server-tests.yml); not in orphan baseline
856	G1	Confirm credit scoping works correctly end-to-end so travelers aren't over- or under-charged	TEST-PROGRAM	TEST-PROGRAM	A verified	Credit scoping is implemented (optimization-fee.service.ts:55-56,64,107 creditTowardCoordination). The task is coverage, not build.
857	G1	Prevent a traveler's remaining credits from disappearing if a payment fails mid-flow	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	RELATED TO #350: credits are only released on a handled failure, and an optimizer PaymentIntent failure is not handled at all (see #350). Fix #350 first.
860	G1	Confirm provider checkout still charges the right commission after the routing change	TEST-PROGRAM	TEST-PROGRAM	A verified	Rail is the single authority direct-charge-rate.service.ts; proof already exists in fee-resolution-authority.db.test.ts. Coverage ask.
861	G1	Prevent non-early-adopter providers from getting the beta rate when the platform exits beta	RULE-FIRST	LANE-BRIEF(money §8/§14/§18/§19)	A verified	CONFIRMED and inverted from the board's framing: isEarlyAdopterProvider (commission.ts:521) returns TRUE - the beta rate - when the setting is MISSING (:522) or the date invalid (:524). Exiting beta by removing the setting silently puts everyone back on the beta rate. Which way this fallback should fail is a money decision (§8/§18), not a ticket.
874	G1	Prevent a refunded coordination fee from re-entering pending via the webhook path	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	server/__tests__/coordination-fee-refund-guard.test.ts cites #874; CI-wired
875	G1	Confirm the coordination fee refund flow fully resets credits so they can be reused	CLOSE-DONE	TEST-PROGRAM	A verified	server/__tests__/coordination-refund-credit-release.test.ts cites #875; CI-wired
876	G1	Confirm the refund flow can't leave Stripe and the database out of sync after a retry	CLOSE-DONE	TEST-PROGRAM	A verified	server/__tests__/refund-retry-convergence.test.ts cites #876; CI-wired
877	G1	Let admins mark a ledger gap as reviewed so the warning doesn't stay red forever	CLOSE-DONE	BUILD	A verified	server/__tests__/coordination-ledger-gap-review.test.ts cites #877 + migration 169 + admin/concierge-requests.tsx:169; CI-wired
878	G1	Export reversed/refunded coordination fees to CSV so finance can reconcile offline	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	admin/concierge-requests.tsx:286 has no CSV/export control for reversed or refunded coordination fees.
879	G1	Alert admins when a new refund/reversal lands so nothing slips through unnoticed	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No notification/alert on a new refund or reversal in coordination-completion.service.ts.
1175	G1	Confirm currency conversion still works correctly after the FX rate change	TEST-PROGRAM	TEST-PROGRAM	A verified	Rail exists: fx-rate-refresh.service.ts:4 refreshes fx_rates daily from Frankfurter. The ask is coverage.
1176	G1	Prevent currency conversion from breaking when the FX table hasn't been seeded yet	LIKELY-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	fx-rate-refresh.service.ts:27 names the fx_rates seed rows in migrations 217 and 220 - the unseeded case is covered by seeds.
1182	G1	Make sure active Stripe status also stops payout reminders, not just complete	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	BOARD IS STALE: the predicate already covers it - stripe-connect-reminder.service.ts:119 `stripe_account_status not in ('complete','active')`. Reminders already stop for 'active'.
1198	G1	Confirm the price display on browse cards handles non-USD currencies correctly	OPEN-VALID	TEST-PROGRAM	A verified	No currency handling on the marketplace card components (same gap as #500).
1241	G1	Confirm a completed payout always reduces the available balance to zero end-to-end	TEST-PROGRAM	TEST-PROGRAM	A verified	payout-parity-gate.yml exists but asserts "pre-accept promise === minted earnings" (P1-P3), NOT payout-reduces-available-to-zero. Adjacent gate, different assertion - so this is a real coverage gap, not a duplicate.
1242	G1	Alert admins when a payout is approved but doesn't cover all available earnings	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	admin/payouts.tsx renders no available-balance or shortfall figure, so there is nothing to alert on.
1243	G1	Make sure a payout refund or reversal also restores the earnings back to available	LIKELY-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	storage.ts:6523 accounts for balance moved by reversal/dispute/concurrent payout. Confirm the restore-to-available leg then close.
1255	G1	Confirm the Booking.com commission fetcher never silently shows $0	OPEN-VALID	TEST-PROGRAM	A verified	CONFIRMED §13 violation: booking-com-commissions.service.ts returns 0 on non-OK status (:76), on a fetch error (:92), and on a missing field (`?? 0` at :82,:88). "We do not know" is rendered as "zero commission". §13 requires an omitted value with a reason, never a zero-fill.
1259	G1	Confirm reconciliation matching still works correctly at month boundaries with a test	LIKELY-DONE	TEST-PROGRAM	A verified	stripeReconciliation.ts:227 states the pass is idempotent across daily runs ("a month-long drift is ONE row, not thirty") - the month boundary is explicitly handled. Remaining ask is the test.
1260	G1	Make Last 35 Days the default period for background reconciliation polls too	PARTIAL	BUILD	A verified	The period exists (affiliate-reconciliation.service.ts:75 `last_35_days`); making it the DEFAULT for background polls is the open half.
1269	G1	Confirm provider earnings summary shows real figures end-to-end on the earnings page	CLOSE-DONE	TEST-PROGRAM	A verified	provider/earnings.tsx:63 `available: number; // releasable - payable now` and :392 reads "the existing (already-live) summary endpoint - neither invents numbers" (§13-clean).
1287	G1	Show the backfill audit and trigger button on the admin reconciliation page	OPEN-VALID	LANE-BRIEF(security)	A verified	admin/reconciliation.tsx has no backfill audit or trigger control.
1288	G1	Make sure earnings never mint for a booking that was refunded outside our ledger	PARTIAL	LANE-BRIEF(money §8/§14/§18/§19)	A verified	storage.ts:170 governs release-vs-void/refund drift, but an out-of-ledger refund is the §17 detection case - confirm against reconciliation_exceptions before closing.
1291	G1	Confirm the Dispute button blocks expert earnings release end-to-end	TEST-PROGRAM	TEST-PROGRAM	A verified	Enforced by from-state guards: booking-from-states.ts:88 records that a second flip on `disputed` changes nothing. The ask is the end-to-end proof.
1294	G1	Confirm a mixed cart with a booking_concierge item doesn't bleed the concierge fee into the other item's payout	PARTIAL	TEST-PROGRAM	A verified	cart.tsx carries conciergeFee at :138 and :794; per-item isolation not proven on this pass. Pair with #517's per-item breakdown.
1295	G1	Confirm a deposit-plan cart stamps the correct deposit split for each item independently	OPEN-VALID	TEST-PROGRAM	A verified	No deposit handling in cart.tsx; the deposit split lives server-side (deposit.service.ts) with no per-item cart stamp.
1298	G1	Catch a travel-surcharge mismatch between the cart preview and what checkout actually charges	LIKELY-DONE	TEST-PROGRAM	A verified	traveler-charge.ts:47-48 - on a CLAIMED row total_amount already folds the surcharge in, so preview and charge read one number.
1299	G1	Confirm each cart surface's breakdown is internally consistent	LIKELY-DONE	TEST-PROGRAM	A verified	cart.tsx:136,141 take subtotal/total as server-derived strings, which is what keeps a surface from computing its own total.
1305	G1	Confirm the pay button stays blocked during the concierge fee outage end-to-end	OPEN-VALID	TEST-PROGRAM	A verified	No fee-outage / unavailable state in booking-concierge.service.ts.
1306	G1	Show the concierge fee outage notice on the cart page summary panel too	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Same as #1305 - no outage notice exists to surface on the cart panel.
1324	G1	Confirm the expert Money page escrow and breakdown figures are accurate end-to-end	TEST-PROGRAM	TEST-PROGRAM	A verified	Located: the page is expert/earnings.tsx (not expert/money.tsx). :25 documents payable-now vs pendingEarnings HELD in escrow; :44 status held|releasable|paid_out|reversed. Supersedes my earlier UNVERIFIED.
1327	G1	Show admins which payout requests have been stuck in processing for too long	UPGRADE->LIKELY-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	payout.config.ts:40 - the admin queue surfaces `isStale`. Supersedes my earlier PARTIAL on this row.
1328	G1	Confirm a stuck payout unblocks the earner automatically after 14 days	TEST-PROGRAM	TEST-PROGRAM	A verified	Threshold lives in payout.config.ts; the ask is the proof, not the build.
1343	G1	Show booking count and revenue on the provider analytics page broken down by service	PARTIAL	LANE-BRIEF(money §8/§14/§18/§19)	A verified	provider/analytics.tsx:59 has byService but only under crossSell. Booking-count/revenue per service not rendered.
1344	G1	Confirm booking counts on provider catalog cards stay accurate when a booking is cancelled	CLOSE-DONE	TEST-PROGRAM	A verified	storage.ts:3539-3546 decrements bookingsCount on the FIRST transition to cancelled/refunded only, guarded on priorStatus - idempotent by construction.
1347	G1	Confirm provider revenue totals roll back correctly when a completed booking is later refunded	OPEN-VALID	TEST-PROGRAM	A verified	CONFIRMED ASYMMETRY: totalRevenue has ONLY increment writes (storage.ts:3737, affiliate.service.ts:396) and no decrement anywhere, while bookingsCount does decrement (storage.ts:3544). A refunded booking leaves revenue inflated permanently while the count self-corrects.
1348	G1	Prevent stale booking counts when the server restarts mid-cancellation	RULE-FIRST	BUILD	A verified	PREMISE CONTRADICTED IN CODE: storage.ts:3535-3538 keeps the decrement deliberately OUTSIDE the transaction, stating it is "a display counter, not a money or inventory invariant, so it does not need the same all-or-nothing guarantee". The task asks for the guarantee the code declined. Moving it inside the tx is a decision, not a fix.
1349	G1	Confirm cleared earnings (available balance) also zero out after a cancellation	TEST-PROGRAM	TEST-PROGRAM	A verified	Machinery is in updateServiceBookingStatus (storage.ts:3530 - a lost race "mints no earnings, releases no slot"). Coverage ask.
1350	G1	Confirm the full refund HTTP route keeps booking counts and earnings accurate end-to-end	TEST-PROGRAM	TEST-PROGRAM	A verified	Route exists with careful semantics (payments.routes.ts:1342,:1444 on refundServiceBooking and whole-stay give-back). Coverage ask.
1580	G1	Make sure the daily revenue summary is updated when a cart booking is confirmed	LIKELY-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	revenue-tracking.service.ts:6,254 maintain dailyRevenueSummary. NOTE the known divergence: booking.service.ts:906 states its raw revenue INSERT does NOT call updateDailyRevenueSummary ("pre-existing, out of scope for F-4") - that is the actual gap this task names.
1581	G1	Protect the provider_earnings raw INSERT inside cart booking from retry-doubling risk	DOWNGRADE(board overstates)	BUILD	A verified	NOT a double-pay. Two layers already hold: (1) the confirm is a proper §15 atomic conditional - booking.service.ts:856 `UPDATE bookings ... WHERE id=? AND status='pending_payment' RETURNING id` with a zero-row abort at :870, so a second confirm never reaches the earnings write; (2) shared/schema.ts:7010 + migration 203:63 declare UNIQUE(source_id) WHERE source_type='booking' AND amount>=0, which the raw INSERT at :888 is covered by. REAL but minor gap: that INSERT has no ON CONFLICT while its platform_revenue sibling at :917 does, so a retry raises a unique violation instead of a silent no-op. Fix = add ON CONFLICT DO NOTHING for symmetry, not a money fix.
1582	G1	Prevent template-purchase commission from being double-recorded on a payment retry	CLOSE-OBSOLETE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	template_purchases is the RETIRED expert_templates lane (historical rows only, ledger 2026-09-03-expert-templates-consumer-sunset). Work on a dead rail.
1583	G1	Confirm a retried ready-made refund can't insert a duplicate revenue reversal entry	LIKELY-DONE	TEST-PROGRAM	A verified	ready-made-purchase.service.ts:206,723 handle the author-earning reversal explicitly and warn against double-reversing.
1666	G1	Define repeat-booking attribution before applying any storefront fee benefit	RULE-FIRST	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Self-declared definition task ('define ... before applying'). PUNCHLIST §1.
1686	G1	Restore provider fee bands before provider checkout is enabled	RULE-FIRST	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Gating precondition on provider checkout — money/sequencing decision.
185	G2	Pre-load curated items with real seed data so the section isn't empty on fresh installs	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
186	G2	Let users book directly inside the app without leaving for an external partner site	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
189	G2	Let users filter experts by language on the server, not just in the browser	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
190	G2	Let users add more destinations to the expert filter dropdown	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
242	G2	Connect real bookability data so marketplace cards show correct booking badges	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
279	G2	Teach the feed to recognise more gem types so fewer gems go missing	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
288	G2	Wire no-results searches into the demand signal layer automatically	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
314	G2	Show review counts on the Expert profile page and marketplace listing	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
315	G2	Surface real review counts from the database on service and gem API responses	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
331	G2	Auto-suggest affinity tags when a provider creates a service	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
332	G2	Show affinity tag chips on marketplace service cards	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
334	G2	Show the Users also book strip on service and experience pages	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
335	G2	Automatically mark bookings as cross-sell attributed when the buyer arrived via a cross-sell chip	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
337	G2	Show bundle deals (hotel + transfer) for real matching services, not just placeholder data	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
338	G2	Add expert profile deep-link and real photo to ExpertPickAttribution badges	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
398	G2	Show real photos on experience browse cards too	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
399	G2	Add more cities to the destination photo library	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
410	G2	Show Kyoto wedding and corporate vendors in the city feed and search results	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
417	G2	Show live transfer options in the airport transfer add-on card	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
497	G2	Show review count accurately - exclude pending/removed reviews from totals	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
523	G2	Let experts endorse services so travelers see trusted picks	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
524	G2	Wire the upsell engine into the cart and discover surfaces	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
541	G2	Wire real-click navigation for UpsellSlot cards	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
610	G2	Export demand signal data to CSV so the team can share supply-gap reports	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
611	G2	Add a Request this service button to offering cards that aren't available yet	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
619	G2	Seed catalog services for party and event templates so filter chips actually narrow results	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
620	G2	Let admins edit filter chip labels and tag mappings without touching code	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
633	G2	Wire up the demand request form so travelers can submit service needs	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
634	G2	Use content impression data to improve the Discover feed quality loop	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
635	G2	Add season_tag values to offering types so seasonal recommendations work	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
668	G2	Stop the services marketplace showing a blank page when there are fewer than 8 entries	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
839	G2	Audit the expert detail page for other hardcoded guarantee claims	BUILD	LANE-BRIEF(security)	C routed	Routed by governance class; staleness not individually probed.
862	G2	Show the real provider name on marketplace service cards instead of a random placeholder	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1199	G2	Make sure Booking.com hotel booking requests are confirmed end-to-end without getting lost	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1200	G2	Show Booking.com hotel prices on the hotel search results cards	BUILD	LANE-BRIEF(money §8/§14/§18/§19)	C routed	Routed by governance class; staleness not individually probed.
1204	G2	Confirm the Restaurant chip returns real results when OpenTable data is cached	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1233	G2	Add SerpAPI dining and attraction results to the Browse panel	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1313	G2	Confirm the discover city feed loads correctly on phones when the city has no feed items	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1325	G2	Sync the keyword search box to the URL so search results survive a page refresh	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1326	G2	Confirm deep-links to /discover-experiences load the correct results end-to-end	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1330	G2	Keep trip-package tab filters in the URL so they survive tab switches too	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1331	G2	Keep the current results page in the URL so users can share or return to it	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1332	G2	Confirm expert-package search relevance can't regress silently	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1333	G2	Prevent the GIN index expression drifting out of sync with the search query	BUILD	LANE-BRIEF(schema/publish-trap)	C routed	Routed by governance class; staleness not individually probed.
1345	G2	Let users convert browse-cart picks into a booking request without leaving the page	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1346	G2	Confirm the browse-cart sheet shows a clear empty state when all items are removed	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1354	G2	Show provider rating on the service detail page so travelers see it before booking	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1355	G2	Confirm the provider rating appears correctly on browse cards end-to-end	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1358	G2	Confirm provider name shows correctly on browse cards when no first/last name is set	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1384	G2	Confirm destination matching still works after any future edit to the browse search route	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1385	G2	Prevent a partial city name from matching unrelated destinations on browse	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1491	G2	Seed availability for the bench provider so the month grid always has real content	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1500	G2	Confirm all 8 crowd markets return zero gap-days after the season calendar migration	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1501	G2	Calibrate the new Kyoto autumn-shoulder and Porto October multipliers against BestTime.app	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1535	G2	Show the pickup toggle on the service listing detail page so travelers know before booking	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1536	G2	Confirm the Logistics step pickup toggle round-trips correctly when editing a service	TEST-PROGRAM	TEST-PROGRAM	C routed	Routed by governance class; staleness not individually probed.
1537	G2	Show the cover photo on the provider's listing detail page and catalog card	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1657	G2	Make sure event planners appear in the marketplace when the market has approved listings	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1658	G2	Reconcile expert ratings so profile and review totals tell the same story	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1659	G2	Remove malformed marketplace fixture text before it reaches public cards	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1665	G2	Make expert and storefront ratings agree before showing review totals	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
1720	G2	Keep every creator available while an admin narrows the vendor directory	BUILD	LANE-BRIEF(security)	C routed	Routed by governance class; staleness not individually probed.
1735	G2	Keep unclassified affiliate content from showing a booking action outside trip plans	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
167	G3	Show local expert knowledge nuggets when the AI builds an itinerary	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
225	G3	Let experts customize the auto-generated anchors before they're saved	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
226	G3	Show a clear success message when anchors are auto-generated on workspace entry	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
227	G3	Make sure presets don't re-generate if an expert manually deletes all anchors	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
228	G3	Show a visual indicator while energy is recalculating after adding an item	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
229	G3	Fully migrate itinerary and shared-view pages to use the unified PlanCard	VERIFY-THEN-CLOSE	BUILD	B probe(built+tested)	Feature area present and test/gate-covered (178 files, 47 test/CI).
230	G3	Wire booking-source data from transport-booking-options API into PlanCard transport legs	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
231	G3	Populate expertNote on itinerary activities so Expert Notes map pins appear	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
291	G3	Fully unify the expert shared-view into PlanCard so the expert edit mode also uses one renderer	VERIFY	BUILD	B probe(built)	Feature area present, no test/gate coverage found (1 files).
292	G3	Fix the same Maps null-island bug on the itinerary comparison page	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
293	G3	Fix Maps links on the server-side itinerary share navigator when activities have no coordinates	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
300	G3	Stop showing duplicate events when the TravelPulse city view and destination calendar cover the same city	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
352	G3	Show In plan state on browse catalog cards across the whole site	VERIFY-THEN-CLOSE	BUILD	B probe(built+tested)	Feature area present and test/gate-covered (33 files, 9 test/CI).
356	G3	Let users pick which day of their trip to schedule each saved item	VERIFY	BUILD	B probe(built)	Feature area present, no test/gate coverage found (3 files).
357	G3	Let users convert discover saves into a trip directly from the Discover page	BUILD	BUILD	B probe(none)	No implementation found under probed identifiers.
358	G3	Show a From Discover label on itinerary items that came from cart saves	BUILD	BUILD	C routed	Routed by governance class; staleness not individually probed.
